Id,SalePrice
1461,127204.0244
1462,159546.8807
1463,173087.8375
1464,183989.153
1465,238418.2516
1466,168420.1182
1467,173851.8818
1468,160439.2181
1469,190734.6059
1470,128431.1334
1471,176484.0065
1472,102510.9965
1473,102375.7134
1474,143591.4054
1475,151015.9569
1476,379419.9174
1477,289622.7637
1478,311739.3509
1479,293656.4965
1480,467413.9444
1481,315733.8226
1482,234490.1764
1483,165260.5011
1484,166721.5901
1485,187233.6768
1486,197009.4481
1487,333382.0589
1488,256104.7765
1489,212514.1617
1490,233902.4699
1491,182232.0987
1492,108025.3544
1493,169598.2493
1494,317915.877
1495,313933.6706
1496,233273.6028
1497,184990.8181
1498,171652.4228
1499,171673.8843
1500,150205.2906
1501,144640.5293
1502,173774.6575
1503,291616.1181
1504,250328.6759
1505,214570.692
1506,188090.5949
1507,226221.2956
1508,184394.4992
1509,168169.4277
1510,139561.9943
1511,139701.3243
1512,165358.9175
1513,139627.6804
1514,185515.394
1515,204869.3226
1516,143391.2767
1517,156135.4603
1518,133975.8605
1519,199221.0896
1520,135560.0651
1521,136095.8458
1522,169249.0455
1523,119935.4212
1524,127367.0522
1525,126370.8435
1526,122431.976
1527,111749.7169
1528,139824.7673
1529,134738.7589
1530,169388.8708
1531,116604.2214
1532,106050.4149
1533,123006.9863
1534,108963.9259
1535,137933.463
1536,110704.0057
1537,78239.2483
1538,187093.9479
1539,214677.082
1540,110887.5042
1541,129713.9608
1542,131668.0808
1543,185050.9637
1544,101691.9092
1545,120390.8977
1546,132191.7916
1547,135659.8802
1548,129263.1821
1549,120769.0779
1550,130622.3979
1551,115364.9401
1552,135760.9318
1553,149402.6168
1554,112106.9578
1555,191640.8478
1556,131757.5704
1557,107028.015
1558,100419.5141
1559,110783.948
1560,124648.8623
1561,142477.2116
1562,130690.3736
1563,123234.3603
1564,159808.9617
1565,142683.4413
1566,248990.1662
1567,86639.76341
1568,220946.1525
1569,117431.1423
1570,130493.5692
1571,114030.1576
1572,130439.8144
1573,248391.4991
1574,108198.6952
1575,211929.3183
1576,193020.1392
1577,201306.7621
1578,141961.8164
1579,149742.6613
1580,195625.1151
1581,157204.5245
1582,141377.2092
1583,332399.3413
1584,220941.6979
1585,150124.0259
1586,89258.10961
1587,100118.8853
1588,135504.4175
1589,105781.5811
1590,127258.0768
1591,104686.8223
1592,104035.8627
1593,117849.1566
1594,194397.6287
1595,114792.2711
1596,242026.7619
1597,169839.0314
1598,215654.6615
1599,222763.8058
1600,215405.5953
1601,91091.0727
1602,121606.6254
1603,95807.78703
1604,291524.7255
1605,244892.0649
1606,161411.3396
1607,188423.9723
1608,219619.0562
1609,204265.8267
1610,144893.0098
1611,132383.9337
1612,153792.259
1613,144306.8233
1614,117816.8848
1615,98346.94445
1616,83614.88532
1617,99222.65295
1618,131710.0044
1619,145282.9909
1620,191076.8062
1621,130191.6823
1622,136577.373
1623,282050.2689
1624,151571.0817
1625,131685.5263
1626,151628.2209
1627,175080.758
1628,282919.2908
1629,189561.2922
1630,387165.0852
1631,244692.3273
1632,264041.4235
1633,177578.4811
1634,173980.6348
1635,173553.4585
1636,156584.5704
1637,194130.2753
1638,210853.9227
1639,173975.4284
1640,264876.271
1641,177230.0388
1642,216961.3795
1643,241964.5253
1644,244321.9652
1645,196503.1232
1646,158647.9385
1647,176658.6896
1648,129402.1102
1649,134971.3121
1650,121771.2638
1651,128819.8233
1652,105669.3631
1653,106390.4058
1654,139865.722
1655,164251.4568
1656,138728.4793
1657,142638.8173
1658,138729.9058
1659,155952.1909
1660,144831.3354
1661,472348.6817
1662,418097.2217
1663,397616.3784
1664,495117.6063
1665,340485.5085
1666,324104.6667
1667,339499.4349
1668,341946.2711
1669,318362.937
1670,360786.8814
1671,258396.5402
1672,442475.2272
1673,330283.2208
1674,270023.2262
1675,180897.1301
1676,183794.1154
1677,209370.7522
1678,453067.2512
1679,401162.633
1680,341426.8746
1681,296736.9543
1682,295844.8695
1683,196403.4762
1684,185144.6877
1685,166038.8314
1686,169962.2717
1687,174663.6611
1688,191798.3543
1689,196367.8831
1690,198039.1899
1691,190975.0099
1692,284631.5581
1693,179544.0865
1694,171782.3578
1695,174372.2041
1696,265880.8564
1697,177439.8332
1698,379486.2817
1699,342715.3468
1700,252556.2706
1701,289337.7365
1702,252476.5887
1703,257791.7103
1704,291999.4706
1705,243730.6998
1706,435538.063
1707,219637.5779
1708,202407.5039
1709,288013.3189
1710,233413.691
1711,268962.444
1712,275362.413
1713,268935.8453
1714,210570.1545
1715,205372.4091
1716,173653.4826
1717,171011.0324
1718,143213.6379
1719,189954.0549
1720,245411.6729
1721,167230.4182
1722,135638.4284
1723,143839.8893
1724,210514.6542
1725,217739.3339
1726,167084.5749
1727,141492.1389
1728,172551.4798
1729,148096.4953
1730,156510.8054
1731,119171.091
1732,95325.38349
1733,125121.1567
1734,127149.1741
1735,128821.8808
1736,117195.7682
1737,381307.0466
1738,241048.3141
1739,331884.9093
1740,196303.3353
1741,185445.6405
1742,160190.7648
1743,176667.9151
1744,309542.6007
1745,232571.0579
1746,262636.1318
